country,year,rgdpo,rgdpe,cn,pop,emp,y_per_person,y_per_worker,rel_income_US,k_per_worker,ln_y,ln_k,ln_y_hat_Solow,lnZ_implied,lnZ_tilde,ln_y_hat_full
Belarus,2023,261406.296875,254782.296875,1408204.875,9.11568,3.96889638900757,28676.55477978604,65863.7241322304,0.3934393327202081,354810.18826800975,11.095343100524063,12.779338244529546,10.777912870868796,10.25334552852132,10.604793194769808,11.329641544689721
Belize,2023,4871.19775390625,5132.9736328125,14358.03515625,0.411106,0.182748422026634,11849.006713368935,26655.21102664468,0.1625671329943465,78567.21823927673,10.19073994618837,11.271709820671989,10.275370062916277,9.650255008946559,9.09716477091225,9.822013120832164
Bermuda,2023,4028.47875976563,6022.5556640625,12678.798828125,0.064698,0.0357721485197544,62265.89322337058,112614.95119704619,0.8542815435520539,354432.1309390574,11.631729767374342,12.77827215652402,10.777557508200285,11.058458572799502,10.603727106764282,11.328575456684195
Bolivia (Plurinational State of),2023,118029.375,117510.328125,353714.5625,12.244159,6.62617015838623,9639.647361652196,17812.608517247234,0.1322549537331434,53381.44871699845,9.787661829188785,10.885218562286727,10.146539643454522,9.238883462639814,8.71067351252699,9.435521862446903
Brazil,2023,3951004.25,3970609.75,17139588.0,211.140729,99.2975463867188,18712.657992196288,39789.54560078085,0.2567357107716727,172608.373758291,10.591359483420629,12.058780571856085,10.537726979977641,9.8576489392029,9.884235522096347,10.60908387201626
Barbados,2023,3057.99096679688,5241.19140625,27237.16796875,0.282336,0.12734742462635,10831.034536144452,24012.978478122583,0.14860066117754178,213880.7914542957,10.086349733088495,12.273174089515404,10.60919148586408,8.99293755487504,10.098629039755666,10.82347738967558
Brunei Darussalam,2023,38622.91796875,38792.8984375,290530.40625,0.458949,0.212830290198326,84155.14135285185,181472.8436105557,1.1545997388145055,1365080.1583706394,12.108861299512148,14.12672370895806,11.227041359011633,11.09993009478919,11.952178659198323,12.677027009118236
Bhutan,2023,11336.24609375,10626.3828125,78868.1640625,0.786385,0.333996653556824,14415.64385606287,33941.196634837914,0.1977811261853353,236134.59363323197,10.432384795527856,12.372157233446881,10.642185867174573,9.462498576568343,10.197612183687143,10.922460533607056
Botswana,2023,45587.98828125,47203.46875,197572.484375,2.480244,1.09990787506104,18380.444940598587,41447.0969022929,0.25217778244502176,179626.39313227538,10.632173119565222,12.09863437913288,10.551011582403241,9.89894248978139,9.924089329373142,10.648937679293056
Central African Republic,2023,5659.34814453125,5511.0673828125,46466.8046875,5.152421,1.7782461643219,1098.3862041807627,3182.5448343870507,0.015069743857326288,26130.69305014878,8.065436418120877,10.170865881322083,9.908422083132974,7.0127216865202735,7.996320831562345,8.721169181482258
Canada,2023,2165437.0,2165848.75,10595644.0,39.299105,20.1884651184082,55101.43297156513,107261.10119315193,0.7559858981226478,524836.5310515213,11.583021339062174,13.170842123662563,10.908414163913134,10.78911094676198,10.996297073902825,11.721145423822739
Switzerland,2023,797972.875,729190.1875,3726945.75,8.870561,5.22269582748413,89957.4305390606,152789.45995681285,1.234206539673332,713605.7455973536,11.936816173995142,13.47808591178132,11.01082875995272,11.166181305102052,11.303540862021583,12.028389211941496
Chile,2023,515928.28125,538011.75,2013679.0,19.658835,8.2648344039917,26244.09235084378,62424.51524507498,0.36006620257053534,243644.20405416057,11.041713349720546,12.403464259990193,10.652621542689012,10.360837894585721,10.228919210230455,10.953767560150368
China,2023,30937840.0,30590320.0,171874224.0,1422.584933,751.184936523438,21747.622431763797,41185.38391249369,0.29837510550031343,228804.14082243422,10.62583871299012,12.340621636324162,10.631674001467001,9.7684472513231,10.166076586564424,10.890924936484337
Côte d'Ivoire,2023,187801.453125,186785.96875,472480.5625,31.165654,11.7397089004517,6025.910867296416,15997.11327746586,0.08267486693805139,40246.36100489857,9.68016356478586,10.60277486894331,10.052391745673383,9.218857912707133,8.428229819183573,9.153078169103486
Cameroon,2023,137202.734375,134722.015625,322289.59375,28.372687,9.77485942840576,4835.732843174142,14036.287210053231,0.0663457489102819,32971.276580553764,9.549401198879991,10.40339205477491,9.985930807617251,9.12240577093253,8.228847005015172,8.953695354935086
D.R. of the Congo,2023,113414.796875,149775.890625,349686.78125,105.789731,33.7807884216309,1072.077561809851,3357.3756615572934,0.014708792035230758,10351.646530134996,8.118914894668404,9.24490087107803,9.59976707971829,7.55592190646359,7.070355821318293,7.795204171238206
Congo,2023,38477.66796875,37133.23828125,300522.90625,6.182885,2.1145646572113,6223.2546729803325,18196.496303638483,0.08538240331475297,142120.46211267493,9.808984343743212,11.864430301696487,10.472943556591108,8.781261364766573,9.689885251936749,10.414733601856662
Colombia,2023,915366.375,904662.5625,3050380.0,52.321152,22.9331722259522,17495.14947606658,39914.51186871263,0.2400316212516548,133011.69022522116,10.59449524273574,11.79819229977146,10.4508642226161,9.992646714217878,9.623647250011722,10.348495599931635
Comoros,2023,3247.38647460938,3228.494140625,16872.62890625,0.850387,0.274394899606705,3818.7160370623965,11834.718791289182,0.05239238468523577,61490.31534636334,9.378792760895973,11.026634967351399,10.193678445142746,8.55487165766826,8.85208991759166,9.576938267511574
Cabo Verde,2023,4966.8447265625,4789.1298828125,23191.2109375,0.522331,0.214225083589554,9508.998559462296,23185.168810944473,0.1304624658297317,108256.28142563062,10.051268077840438,11.592256671207844,10.382219013094895,9.280773781156736,9.417711621448106,10.14255997136802
Costa Rica,2023,128208.71875,129839.703125,430450.40625,5.105525,2.15846085548401,25111.760054059083,59398.213511382244,0.34453072187260486,199424.69892671573,10.992019429332501,12.203191995071363,10.5858641210494,10.38643314646307,10.028646945311625,10.753495295231538
Cayman Islands,2023,4886.34375,5564.9306640625,22720.73046875,0.073038,0.0511694960296154,66901.39037213505,95493.29442627162,0.917880079674737,444028.8107508409,11.466811308571891,13.003644728387627,10.852681698821488,10.698394598664022,10.82909967862789,11.553948028547802
Cyprus,2023,32687.408203125,46273.9140625,242610.0,0.913951,0.405241817235947,35764.94604538427,80661.48855534612,0.4906913196137859,598679.5776773042,11.298016522947702,13.302481805219744,10.952294057765528,10.29578388181168,11.127936755460006,11.852785105379919
Czechia,2023,483871.0625,519598.5625,2866103.0,10.809716,5.3817195892334,44762.60639039915,89910.12156561005,0.6141382786146309,532562.6786155654,11.406565801058987,13.185455875959182,10.913285414678674,10.517120763608888,11.010910826199444,11.735759176119357
Germany,2023,5071455.5,5060520.0,20999284.0,84.548231,46.0366134643555,59982.987698465266,110161.35024629139,0.8229603184858145,456143.1091420092,11.60970139046514,13.030561875098098,10.861654081058312,10.89927114814866,10.85601682533836,11.580865175258273
Djibouti,2023,9494.96875,8546.4931640625,26842.5625,1.152944,0.1911331564188,8235.411910725934,49677.24558053743,0.11298899019473638,140439.06877770656,10.81330227184443,11.852528999512069,10.46897645586297,10.29368890801061,9.677983949752331,10.402832299672244
Denmark,2023,391999.71875,388496.09375,1998499.625,5.948136,3.20203399658203,65902.95157171927,122422.09769428903,0.9041816037450394,624134.4180396813,11.715230169483618,13.344121037678534,10.966173801918458,10.90078473538616,11.169575987918796,11.894424337838709
Dominican Republic,2023,261550.375,259608.28125,1348759.5,11.331265,5.43369150161743,23082.186763790272,48134.932747312785,0.3166851885732914,248221.58188379282,10.781763445042976,12.422077101573498,10.65882582321678,9.961606616777715,10.24753205181376,10.972380401733673
Algeria,2023,673065.1875,682350.9375,2916442.0,46.164219,11.6545906066895,14579.802324826505,57751.07939987821,0.2000333632098562,250239.76374820247,10.963897319116349,12.430174792237784,10.661525053438208,10.23075858255563,10.255629742478046,10.98047809239796
Ecuador,2023,255126.953125,250735.21875,1481233.125,17.980083,8.51595687866211,14189.420211519602,29958.694807891214,0.19467736143960035,173936.19367794492,10.307574872192584,12.066443807944363,10.540281392007067,9.428140404316693,9.891898758184626,10.616747108104539
Egypt,2023,1955516.75,1824768.75,3185428.5,114.535772,28.6768665313721,17073.41484545108,68191.43743828118,0.23424546622262296,111080.0755206356,11.130074285191057,11.61800662129659,10.390802329791143,10.886108117138289,9.443461571536853,10.168309921456766
Spain,2023,2193716.25,2239046.75,13514154.0,47.911579,20.927074432373,45786.76586718213,104826.70461602818,0.6281896395343396,645773.6863158649,11.560063833447678,13.37820439060418,10.977534919560341,10.650993554869427,11.203659340844442,11.928507690764356
Estonia,2023,51206.734375,58142.65234375,304093.25,1.367196,0.690943121910095,37453.83571558138,74111.35989521144,0.5138627092727972,440113.2891508375,11.213324104462808,12.994787448096169,10.849729272057669,10.322592432646127,10.82024239833643,11.545090748256344
Ethiopia,2023,406073.65625,386314.25,878424.125,128.691692,56.9415702819824,3155.3991554482013,7131.409517494302,0.043291746436030946,15426.763270663669,8.872264182158707,9.643859154763176,9.732753174280006,8.486466695856471,7.469314105003438,8.194162454923351
Finland,2023,289576.125,300309.875,1850916.75,5.601185,2.77818250656128,51699.08242630801,104232.21811961713,0.7093060044434467,666232.9582842952,11.5543765555164,13.409394675574896,10.987931681217244,10.626867495487152,11.234849625815158,11.959697975735072
Fiji,2023,12859.6669921875,12670.822265625,32471.896484375,0.924145,0.330901443958282,13915.204856583654,38862.52909131689,0.19091515544602392,98131.62522333645,10.567785802937122,11.494064971005066,10.349488446360635,10.104646218903149,9.319519921245329,10.044368271165242
France,2023,3533407.5,3569986.75,21333246.0,68.655641,30.592170715332,51465.65451191403,115500.38514361285,0.7061033978687484,697343.3235095126,11.65702914351516,13.455033141652692,11.003144503243178,10.758027144446395,11.280488091892954,12.005336441812867
Gabon,2023,49004.3984375,48524.51171875,108239.640625,2.484789,0.677496314048767,19721.75441757831,72331.60892735515,0.27058040820138296,159764.1763955173,11.189016503856331,11.98145410943252,10.511951492503119,10.792797701068237,9.806909059672781,10.531757409592695
United Kingdom,2023,3481523.5,3606369.25,17216510.0,68.682962,33.6068077087402,50689.76932008261,103595.78125281302,0.6954583341752247,512292.33520809724,11.548251886480433,13.146650708285206,10.90035035878735,10.749052475578045,10.972105658525468,11.696954008445381
Georgia,2023,89425.9765625,80443.265625,426327.34375,3.807492,0.987434387207031,23486.845556733933,90563.9683214217,0.322237064895176,431752.579486189,11.413811712280635,12.975607970481382,10.84333611285274,10.632913583180262,10.801062920721645,11.525911270641558
Ghana,2023,214890.328125,225386.609375,596860.375,33.787914,12.9371995925903,6359.976177428414,16610.266123441204,0.08725820805809242,46135.20652041637,9.71777622435986,10.739331636439537,10.097910668172126,9.20699851832002,8.5647865866798,9.289634936599713
Guinea,2023,51115.68359375,52422.00390625,78917.3984375,14.405468,3.56292605400085,3548.3528611323145,14346.546299031836,0.04868303018477714,22149.603230996825,9.571264516194988,10.00557486249103,9.853325076855956,9.354109343046966,7.831029812731293,8.555878162651206
Gambia,2023,7654.7783203125,7020.673828125,17995.138671875,2.697845,0.846075356006622,2837.3677213896644,9047.395442933323,0.03892838841897088,21268.95499806303,9.110232198911692,9.965003776665911,9.839801381580918,8.682846410034582,7.790458726906174,8.515307076826087
